0     0.0,  -nan
50   259.0,  36.3
100   647.0,  64.4
150   1088.0,  88.5
200   1562.0, 110.2
250   2062.0, 130.2
300   2575.0, 148.4
350   3112.0, 166.1
400   3668.0, 183.2
450   4228.0, 199.1
500   4806.0, 214.7
